snapped_at,price,market_cap,total_volume
2021-06-03 00:00:00 UTC,4.184643579686266e-06,2438421580.207652,35769745.22773029
2021-06-04 00:00:00 UTC,3.958052239439363e-06,2324077285.7833443,31220669.78424794
2021-06-05 00:00:00 UTC,3.942216190663029e-06,2224170610.5471225,28372763.33252215
2021-06-06 00:00:00 UTC,3.852562833468812e-06,2241817759.7937374,32972990.96018776
2021-06-07 00:00:00 UTC,4.045158993660093e-06,2354623726.088782,22458705.58835648
2021-06-08 00:00:00 UTC,3.668980068392669e-06,2141763358.368214,20597413.86409863
2021-06-09 00:00:00 UTC,3.73538878624056e-06,2179608488.612817,31200871.00069107
2021-06-10 00:00:00 UTC,4.051247937053814e-06,2356427738.245312,20653595.02817323
2021-06-11 00:00:00 UTC,3.718152839821047e-06,2170594761.2064533,19740789.23382402
2021-06-12 00:00:00 UTC,3.7810291215000793e-06,2224589984.03907,19255870.8891399
2021-06-13 00:00:00 UTC,3.854728318855687e-06,2259143993.506844,18824478.70882887
2021-06-14 00:00:00 UTC,4.0191148429622096e-06,2330213432.84452,20790366.346659992
2021-06-15 00:00:00 UTC,4.379784257758771e-06,2529230199.125849,20480607.02812596
2021-06-16 00:00:00 UTC,4.575670399716886e-06,2598646448.337793,22846183.037160262
2021-06-17 00:00:00 UTC,4.220970955456482e-06,2454965609.424049,16224129.674710508
2021-06-18 00:00:00 UTC,4.088543145343905e-06,2373688383.121959,17338498.766218767
2021-06-19 00:00:00 UTC,3.95645606123831e-06,2212068774.68737,11460224.00832498
2021-06-20 00:00:00 UTC,3.975945618102735e-06,2309232850.643357,9331341.795870155
2021-06-21 00:00:00 UTC,3.895022993274708e-06,2266245390.637247,17079531.796197925
2021-06-22 00:00:00 UTC,3.278707779609827e-06,1917643786.4020488,18193612.77519829
2021-06-23 00:00:00 UTC,2.9056954298862487e-06,1685806777.441585,24526489.203149103
2021-06-24 00:00:00 UTC,3.144427114964659e-06,1827079552.589835,12029205.079672566
2021-06-25 00:00:00 UTC,3.1044457683688e-06,1777741755.6264436,17267324.43138918
2021-06-26 00:00:00 UTC,3.0210512814072373e-06,1747184536.477205,15592611.7273786
2021-06-27 00:00:00 UTC,2.9524226286731598e-06,1725071410.8129957,15150387.638807025
2021-06-28 00:00:00 UTC,3.188593463236489e-06,1851272181.6600704,15229713.1944537
2021-06-29 00:00:00 UTC,3.362850840466487e-06,1957269113.473009,16089883.304169074
2021-06-30 00:00:00 UTC,3.6598459358624976e-06,2136169849.823346,14572832.063914483
2021-07-01 00:00:00 UTC,3.5111390051468942e-06,2037693862.366686,18181478.922236737
2021-07-02 00:00:00 UTC,3.329025001147757e-06,1921215973.9276605,18795495.510526914
